WT #1 (1) Area	WT #1 (2) Area	KO #1 (3) Area	KO #1 (4) Area	WT #2 (5) Area	WT #2 (6) Area	KO #2 (7) Area	KO #2 (8) Area	MIXC57 #3 (9) Area	MIXC57 #3 (10) Area	MIXKO #3 (11) Area	MIXKO #3 (12) Area	C: Student's T-test Significant KO #1 Female_WT #1 Female	N: Log2 (KO #1 Female/WT #1 Female)	N: -Log p-value (KO #1 Female/WT #1 Female)	N: Log2 (KO #2 Male/WT #2 Male)	N: -Log p-value (KO #2 Male/WT #2 Male)	N: Log2 (MIXKO/MIXWT)	N: -Log p-value (MIXKO/MIXWT)	T: Protein Group	T: Protein ID	T: Accession	T: Significance	T: Coverage (%)	T: #Peptides	T: #Unique	T: PTM	T: Avg. Mass	T: Description
21,2006	21,8614	18,9937	19,5805	19,0211	19,5582	17,92	17,5878	18,7987	18,9909	20,1079	19,9882		-2,24389	1,43585	-1,53575	1,40039	1,15322	2,02202	498	1111	Q8QZT1|THIL_MOUSE	9,94	11	3	3	Carbamidomethylation	44816	Acetyl-CoA acetyltransferase  mitochondrial OS=Mus musculus OX=10090 GN=Acat1 PE=1 SV=1
21,343	21,1079	17,8423	22,5685	20,265	20,6006	19,8697	20,1079	17,9431	18,9345	20,68	18,8144		-1,02005	0,149724	-0,444015	0,786127	1,30846	0,467091	618	982	Q8BMK4|CKAP4_MOUSE	9,89	8	4	4	Deamidation (NQ)	63692	Cytoskeleton-associated protein 4 OS=Mus musculus OX=10090 GN=Ckap4 PE=1 SV=2
23,391	19,6852	19,7971	19,2419	22,0789	22,1673	20,3211	23,2679	21,6757	21,2877	19,7521	20,8802		-2,01859	0,404509	-0,328591	0,0735067	-1,16561	0,72149	579	1299	Q8CB87|RAB44_MOUSE	9,62	6	4	4		106328	Ras-related protein Rab-44 OS=Mus musculus OX=10090 GN=Rab44 PE=1 SV=2
20,3211	18,1704	19,4149	19,0399	19,9156	20,1704	18,9054	19,8861	19,3962	20,1581	19,7521	19,8144		-0,0183153	0,0051829	-0,647233	0,481901	0,00607395	0,00490773	579	1405	tr|A0A2Y9CZI3|A0A2Y9CZI3_MOUSE	9,62	5	2	2		78237	RAB44  member RAS oncogene family OS=Mus musculus OX=10090 GN=Rab44 PE=1 SV=1
22,7389	20,7553	21,2989	22,3831	22,8269	23,0625	22,8802	21,0359	21,0559	21,7512	21,3045	21,9134		0,0939035	0,0262467	-0,986649	0,398206	0,205405	0,154797	299	673	P35564|CALX_MOUSE	9,61	13	7	7	"Deamidation (NQ);Phosphorylation (STY)"	67278	Calnexin OS=Mus musculus OX=10090 GN=Canx PE=1 SV=1
19,1531	20,6276	18,2832	18,7892	19,3495	20,7223	19,6006	20,3211	20,2185	18,6662	20,6628	21,9672		-1,35417	0,648895	-0,0750504	0,030722	1,87263	0,686162	288	650	P19157|GSTP1_MOUSE	9,61	25	3	3		23609	Glutathione S-transferase P 1 OS=Mus musculus OX=10090 GN=Gstp1 PE=1 SV=2
22,8288	23,9933	21,5261	22,7836	23,391	23,2535	23,1015	22,8152	20,8576	21,2535	21,9243	23,1206		-1,25624	0,552372	-0,363907	0,826773	1,46694	0,837708	200	351	P17225|PTBP1_MOUSE	9,5	19	8	6	"Carbamidomethylation;Acetylation (N-term)"	59322	Polypyrimidine tract-binding protein 1 OS=Mus musculus OX=10090 GN=Ptbp1 PE=1 SV=3
23,0156	23,3239	22,6453	23,6865	23,8858	23,9406	22,654	22,1795	22,5522	23,2066	23,6649	24,2535		-0,00389957	0,00221126	-1,4964	1,61008	1,07984	0,874195	217	223	O70138|MMP8_MOUSE	9,49	24	10	10	"Carbamidomethylation;Deamidation (NQ)"	53126	Neutrophil collagenase OS=Mus musculus OX=10090 GN=Mmp8 PE=2 SV=2
19,4252	17,2604	19,6937	20,0559	20,1457	20,85	19,4108	20,343	19,0292	18,265	17,8667	15,9116		1,53199	0,526509	-0,620927	0,398836	-1,75796	0,627227	470	1571	tr|H3BK65|H3BK65_MOUSE	9,46	4	2	2		102229	Epidermal growth factor receptor pathway substrate 15 OS=Mus musculus OX=10090 GN=Eps15 PE=1 SV=1
19,4252	17,2604	19,6937	20,0559	20,1457	20,85	19,4108	20,343	19,0292	18,265	17,8667	15,5901		1,53199	0,526509	-0,620927	0,398836	-1,91869	0,600082	470	1606	tr|Q5JC28|Q5JC28_MOUSE	9,46	5	2	2		86678	Epidermal growth factor receptor pathway substrate 15 OS=Mus musculus OX=10090 GN=Eps15 PE=1 SV=1
19,4252	17,2604	19,6937	20,0559	20,1457	20,85	19,4108	20,343	19,0292	18,265	17,8667	15,8717		1,53199	0,526509	-0,620927	0,398836	-1,77791	0,623553	470	1607	P42567|EPS15_MOUSE	9,46	4	2	2		98471	Epidermal growth factor receptor substrate 15 OS=Mus musculus OX=10090 GN=Eps15 PE=1 SV=1
21,1946	20,8727	16,3786	19,8515	22,2905	20,0292	22,0854	20,7471	20,4972	22,1143	20,6453	23,5638		-2,91862	0,626754	0,256407	0,0638401	0,798837	0,167938	394	1497	Q61129|CFAI_MOUSE	9,46	5	4	4	"Carbamidomethylation;Acetylation (N-term)"	67261	Complement factor I OS=Mus musculus OX=10090 GN=Cfi PE=1 SV=3
21,2477	20,2764	18,5088	18,4536	21,8385	21,1704	20,4676	19,9316	19,2945	19,1679	20,3645	20,714		-2,28084	1,37059	-1,30481	1,03171	1,30807	1,70795	315	678	P17918|PCNA_MOUSE	9,41	27	5	5	Carbamidomethylation	28785	Proliferating cell nuclear antigen OS=Mus musculus OX=10090 GN=Pcna PE=1 SV=2
21,5498	18,3752	18,7828	20,8191	22,3239	22,4092	21,0156	21,1642	17,5582	20,4775	20,9024	21,2302		-0,16156	0,0270886	-1,27664	2,34926	2,04844	0,52601	292	778	Q9DBG5|PLIN3_MOUSE	9,39	12	3	3		47262	Perilipin-3 OS=Mus musculus OX=10090 GN=Plin3 PE=1 SV=1
26,0567	25,5898	25,7129	26,6181	25,9248	26,317	25,4892	25,3239	25,7103	26,0041	26,4614	26,7771		0,342246	0,243533	-0,714339	1,10538	0,762022	1,14524	85	624	Q8K426|RETNG_MOUSE	9,39	71	13	13	"Carbamidomethylation;Oxidation (M)"	12535	Resistin-like gamma OS=Mus musculus OX=10090 GN=Retnlg PE=1 SV=1
22,8346	21,5069	21,6276	20,4775	21,9847	21,2361	20,6006	21,2302	21,743	22,4825	21,7389	22,8969		-1,11819	0,480275	-0,694969	0,535783	0,205153	0,100515	430	1145	P97822|AN32E_MOUSE	9,24	11	5	5		29622	Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Mus musculus OX=10090 GN=Anp32e PE=1 SV=2
22,9619	21,8538	23,2961	23,3376	24,8811	25,4831	24,5285	23,8576	23,2821	22,4726	23,5522	24,7077		0,909016	0,614769	-0,989058	0,797435	1,25259	0,661989	601	2654	P27005|S10A8_MOUSE	9,21	27	1	1	Deamidation (NQ)	10295	Protein S100-A8 OS=Mus musculus OX=10090 GN=S100a8 PE=1 SV=3
16,6411	19,7223	16,3659	15,959	15,9385	17,4252	16,1946	17,1457	15,7892	16,6523	18,0951	16,5775		-2,01929	0,490244	-0,0116987	0,00409011	1,11555	0,482109	1006	1457	Q99J36|THUM1_MOUSE	9,14	17	3	3	"Carbamidomethylation;Deamidation (NQ);Acetylation (N-term)"	38885	THUMP domain-containing protein 1 OS=Mus musculus OX=10090 GN=Thumpd1 PE=1 SV=1
22,9899	22,2506	22,0658	20,9316	22,1765	22,3403	21,2821	21,417	21,9847	22,2096	22,1976	22,3348		-1,12157	0,620871	-0,908837	1,87416	0,169105	0,484323	172	182	Q9JIX8|ACINU_MOUSE	9,1	14	13	13	"Deamidation (NQ);Phosphorylation (STY);Acetylation (N-term)"	150719	Apoptotic chromatin condensation inducer in the nucleus OS=Mus musculus OX=10090 GN=Acin1 PE=1 SV=3
22,9899	22,2506	22,0658	20,9316	22,1765	22,3403	21,2821	21,417	21,9847	22,2096	22,1976	22,3348		-1,12157	0,620871	-0,908837	1,87416	0,169105	0,484323	172	183	tr|F6RJ39|F6RJ39_MOUSE	9,1	15	13	13	"Deamidation (NQ);Phosphorylation (STY);Acetylation (N-term)"	143660	Apoptotic chromatin condensation inducer 1 (Fragment) OS=Mus musculus OX=10090 GN=Acin1 PE=1 SV=1
22,7013	20,8423	20,3857	19,9112	20,6006	20,4375	19,1002	19,3538	19,786	21,2535	19,4415	20,3321		-1,62333	0,633226	-1,29202	1,87469	-0,632918	0,269495	719	2593	P62855|RS26_MOUSE	9,03	10	3	3	Oxidation (M)	13015	Small ribosomal subunit protein eS26 OS=Mus musculus OX=10090 GN=Rps26 PE=1 SV=3
21,8839	21,9316	19,2832	20,953	21,7796	22,2096	21,85	21,9098	18,9488	18,6024	20,2535	20,002		-1,78961	0,781433	-0,1147	0,187096	1,35213	1,61703	374	867	tr|F7DBQ0|F7DBQ0_MOUSE	9,03	13	4	4		48132	Protein disulfide-isomerase A6 OS=Mus musculus OX=10090 GN=Pdia6 PE=1 SV=1
21,8839	21,9316	19,2832	20,953	21,7796	22,2096	21,85	21,9098	18,9488	18,6024	20,2535	20,002		-1,78961	0,781433	-0,1147	0,187096	1,35213	1,61703	374	868	Q922R8|PDIA6_MOUSE	9,03	13	4	4		48100	Protein disulfide-isomerase A6 OS=Mus musculus OX=10090 GN=Pdia6 PE=1 SV=3
21,8839	21,9316	19,2832	20,953	21,7796	22,2096	21,85	21,9098	18,9488	18,6024	20,2535	20,002		-1,78961	0,781433	-0,1147	0,187096	1,35213	1,61703	374	869	tr|Q3TML0|Q3TML0_MOUSE	9,03	13	4	4		48689	Protein disulfide-isomerase A6 OS=Mus musculus OX=10090 GN=Pdia6 PE=1 SV=1
27,8385	25,2317	25,1095	25,0813	24,9088	25,5165	23,6865	24,1174	25,4738	24,9271	25,0854	25,2996		-1,43967	0,415129	-1,31074	1,14186	-0,00793362	0,00837615	116	145	Q8BH61|F13A_MOUSE	8,99	26	17	17	"Carbamidomethylation;Deamidation (NQ);Oxidation (M);Phosphorylation (STY);Acetylation (N-term)"	83207	Coagulation factor XIII A chain OS=Mus musculus OX=10090 GN=F13a1 PE=1 SV=3
21,4825	23,2821	20,1704	20,3752	21,7955	21,3752	22,3017	23,5522	21,417	21,5638	23,0691	23,6865		-2,1095	0,838021	1,3416	0,747257	1,88735	1,56671	263	615	tr|A0A2I3BR29|A0A2I3BR29_MOUSE	8,94	22	7	7	Acetylation (N-term)	35176	Family with sequence similarity 107  member B OS=Mus musculus OX=10090 GN=Fam107b PE=1 SV=1
